price_15;price_25;Marcas;Crystal (Linha);Sim;Tizen;Amazon Prime Video;Globoplay;Netflix;Youtube;Acesso Internet;Assistente Pessoal;Controle com Comando de Voz;Grava Programacao;HDR;Conversor Digital Integrado e Interativo (DTVi);LED;Tamanho da Tela;4K;Frequencia_Nativa;Bluetooth;Tecnologia DLNA;Wi-Fi integrado;Espelhamento de Tela;HDMI;LAN (Rede);USB;3 HDMI;Altura com base;Altura sem base;Largura;Profundidade com base;Profundidade sem base;ThinQ AI (Linha);WebOS;Conversor Digital Integrado;Facebook;OLED;Design da Tela;4 HDMI;Linha;Android;Controle por Smartphone;Android TV (Linha);Controle com Função Mouse;Função Estádio;Nano Cristal;IPS (In Plane Switching);2 HDMI;Picture in Picture(PiP);QLED;Frequência Máxima;ConnectShare;Slim;Saphi;Disney Plus;Tela Plana;Neo QLED;Roku;Sistema Operacional;The Frame (Linha);One Connect;PC;Série 6600 (Linha);VA (Vertically Aligned);Suporte para Controle por Movimento;Q80 (Linha);HDMI 2,1;HDMI 2,0;Série 6 (Linha);Ultra Slim;The Sero (Linha);Linux;Cartão de Memória;Vidaa;Fone de Ouvido P2;The Serif (Linha);NFC;Full HD;HD;Suporte para Wi-Fi;8K;LCD;Super Slim;Spotify;Série 5100 (Linha);Potência (RMS);Série 3000 (Linha);Smart TV;1 HDMI;Resolução de Imagem;Aquos (Linha)
2679,49;2784;LG (Marca);0;1;0;0;0;1;1;1;1;0;0;1;0;1;50;1;60;1;0;1;0;1;0;1;0;0;0;113;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2924,03;2603,6;LG (Marca);0;1;0;1;0;1;0;1;1;1;0;1;0;1;50;1;60;1;0;1;1;1;0;1;1;71,3;65,1;112;23,1;5,71;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;3891,5;LG (Marca);0;1;0;0;0;1;1;1;1;0;0;0;0;1;55;1;120;1;0;1;1;1;1;1;0;78,4;71,7;123,4;26;8,4;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3399,49;2899,49;LG (Marca);0;1;0;1;0;1;0;1;1;1;0;0;0;1;55;1;60;1;0;1;1;1;0;1;1;77,6;71,5;123,5;23,1;5,75;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;3399,99;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;1;0;1;55;1;60;1;0;1;0;1;0;1;1;78,3;72,8;124,7;23,5;8,8;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3414,74;3712,39;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;1;0;1;55;1;60;1;0;1;1;1;0;1;1;78,6;72,6;124,4;23,1;8,7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3371,55;3324,05;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;1;0;1;55;1;60;1;0;1;1;1;1;1;1;0;0;123,4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3031,21;2801,36;LG (Marca);0;1;0;0;0;1;1;1;1;1;0;1;0;1;55;1;60;1;0;1;1;1;1;1;0;78,3;0;124,4;23,5;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3169,03;2999;LG (Marca);0;1;0;0;0;1;0;1;1;1;0;1;0;1;55;1;60;1;0;1;1;1;0;1;0;78,3;72,6;124;23,5;8,71;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4399;;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;0;0;1;60;1;0;1;0;1;0;1;0;1;1;85,7;79,6;136,8;25,5;8,9;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
